text,label
Can you share the minutes of the last meeting?,not spam
This is not a scam. Transfer your funds now to double your income.,spam
Act now! Limited time offer for exclusive members.,spam
Act now! Limited time offer for exclusive members.,spam
Attached is the invoice for your recent purchase.,not spam
Act now! Limited time offer for exclusive members.,spam
Thanks for your feedback on the recent project.,not spam
This is not a scam. Transfer your funds now to double your income.,spam
Can you review the latest report and send your comments by EOD?,not spam
You have been selected for a special reward. Click the link to claim.,spam
Attached is the invoice for your recent purchase.,not spam
You won a lottery! Send your details to receive your winnings.,spam
Earn $5000 a week from home. Limited offer!,spam
"Dear customer, your account statement is attached.",not spam
Act now! Limited time offer for exclusive members.,spam
Act now! Limited time offer for exclusive members.,spam
You have been selected for a special reward. Click the link to claim.,spam
Congratulations! You've won a free vacation. Call now to claim your prize.,spam
Looking forward to our call on Friday.,not spam
WIN BIG CASH!!! Click here now to participate in our survey.,spam
Can you review the latest report and send your comments by EOD?,not spam
Can you share the minutes of the last meeting?,not spam
Act now! Limited time offer for exclusive members.,spam
Can you share the minutes of the last meeting?,not spam
Attached is the invoice for your recent purchase.,not spam
Looking forward to our call on Friday.,not spam
You won a lottery! Send your details to receive your winnings.,spam
Thanks for your feedback on the recent project.,not spam
Act now! Limited time offer for exclusive members.,spam
Attached is the invoice for your recent purchase.,not spam
Reminder: Your appointment is scheduled for 10:00 AM tomorrow.,not spam
Act now! Limited time offer for exclusive members.,spam
Lowest mortgage rates guaranteed! Apply now.,spam
WIN BIG CASH!!! Click here now to participate in our survey.,spam
Reminder: Your appointment is scheduled for 10:00 AM tomorrow.,not spam
Lowest mortgage rates guaranteed! Apply now.,spam
Let’s grab lunch tomorrow at the cafe near your office.,not spam
Attached is the invoice for your recent purchase.,not spam
"Dear customer, your account statement is attached.",not spam
You won a lottery! Send your details to receive your winnings.,spam
Can you share the minutes of the last meeting?,not spam
"Hi John, can we reschedule our meeting to next week?",not spam
Earn $5000 a week from home. Limited offer!,spam
Let’s grab lunch tomorrow at the cafe near your office.,not spam
You won a lottery! Send your details to receive your winnings.,spam
Lowest mortgage rates guaranteed! Apply now.,spam
Looking forward to our call on Friday.,not spam
Please find the updated project plan attached.,not spam
"Hi John, can we reschedule our meeting to next week?",not spam
Lowest mortgage rates guaranteed! Apply now.,spam
You won a lottery! Send your details to receive your winnings.,spam
Please find the updated project plan attached.,not spam
Looking forward to our call on Friday.,not spam
Please find the updated project plan attached.,not spam
Reminder: Your appointment is scheduled for 10:00 AM tomorrow.,not spam
Act now! Limited time offer for exclusive members.,spam
This is not a scam. Transfer your funds now to double your income.,spam
Can you review the latest report and send your comments by EOD?,not spam
Looking forward to our call on Friday.,not spam
Hot singles in your area are waiting for you. Join now!,spam
Can you review the latest report and send your comments by EOD?,not spam
Please find the updated project plan attached.,not spam
Can you review the latest report and send your comments by EOD?,not spam
"Dear customer, your account statement is attached.",not spam
"Dear customer, your account statement is attached.",not spam
Earn $5000 a week from home. Limited offer!,spam
Can you share the minutes of the last meeting?,not spam
You have been selected for a special reward. Click the link to claim.,spam
"Hi John, can we reschedule our meeting to next week?",not spam
Reminder: Your appointment is scheduled for 10:00 AM tomorrow.,not spam
Get cheap medicines online without prescription. Order today.,spam
You won a lottery! Send your details to receive your winnings.,spam
Thanks for your feedback on the recent project.,not spam
Earn $5000 a week from home. Limited offer!,spam
You won a lottery! Send your details to receive your winnings.,spam
Congratulations! You've won a free vacation. Call now to claim your prize.,spam
You won a lottery! Send your details to receive your winnings.,spam
Hot singles in your area are waiting for you. Join now!,spam
You have been selected for a special reward. Click the link to claim.,spam
Earn $5000 a week from home. Limited offer!,spam
"Dear customer, your account statement is attached.",not spam
Can you review the latest report and send your comments by EOD?,not spam
Earn $5000 a week from home. Limited offer!,spam
You have been selected for a special reward. Click the link to claim.,spam
Lowest mortgage rates guaranteed! Apply now.,spam
Can you review the latest report and send your comments by EOD?,not spam
Lowest mortgage rates guaranteed! Apply now.,spam
Earn $5000 a week from home. Limited offer!,spam
You have been selected for a special reward. Click the link to claim.,spam
This is not a scam. Transfer your funds now to double your income.,spam
Can you review the latest report and send your comments by EOD?,not spam
Act now! Limited time offer for exclusive members.,spam
Hot singles in your area are waiting for you. Join now!,spam
Attached is the invoice for your recent purchase.,not spam
"Hi John, can we reschedule our meeting to next week?",not spam
Thanks for your feedback on the recent project.,not spam
Thanks for your feedback on the recent project.,not spam
Looking forward to our call on Friday.,not spam
Reminder: Your appointment is scheduled for 10:00 AM tomorrow.,not spam
Congratulations! You've won a free vacation. Call now to claim your prize.,spam
